                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2061,                 3.0589,                 1.4434,                0.00633,                0.94118,                0.62437,                0.55365,                0.56093,                  2.725,                0.94645,             0.00020004,             0.00020004,             0.00020004
                      2,                0.70968,                 1.3491,                 1.0578,                      1,                0.10958,                0.87891,                0.73217,                0.61559,                 2.5778,                0.98313,             0.00041592,             0.00041592,             0.00041592
                      3,                 0.6671,                 1.0625,                 1.0112,                  0.999,                    0.5,                0.98531,                0.74267,                0.71838,                  1.945,                  1.037,             0.00063095,             0.00063095,             0.00063095
                      4,                0.67373,                0.91476,                 1.0275,                0.80797,                0.73529,                0.84319,                0.71467,                0.63556,                 1.3146,                 1.0331,             0.00084512,             0.00084512,             0.00084512
                      5,                0.69343,                0.93479,                 1.0291,                0.77351,                0.74498,                 0.9319,                0.70013,                 0.8014,                 1.7325,                 1.1334,              0.0010584,              0.0010584,              0.0010584
                      6,                0.67294,                0.85405,                 1.0115,                0.91528,                 0.6799,                0.98889,                0.81275,                0.69436,                 1.5546,                  1.086,              0.0012709,              0.0012709,              0.0012709
                      7,                 0.7082,                  0.865,                 1.0461,                0.73466,                0.88781,                0.92151,                0.76753,                0.77143,                 1.5321,                 1.1209,              0.0014825,              0.0014825,              0.0014825
                      8,                 0.6653,                0.79452,                 1.0081,                0.69911,                0.77943,                0.86098,                0.64872,                0.89481,                 1.6823,                 1.1553,              0.0016439,              0.0016439,              0.0016439
                      9,                0.72079,                0.80162,                  1.029,                0.72896,                0.69207,                0.90427,                0.65107,                0.84951,                 1.7302,                 1.0697,              0.0016406,              0.0016406,              0.0016406
                     10,                0.68433,                0.75413,                 1.0221,                0.87053,                0.67846,                0.98531,                0.85295,                0.64916,                 1.2115,                0.98888,              0.0016373,              0.0016373,              0.0016373
                     11,                0.65302,                0.74744,                 1.0172,                0.90997,                0.98106,                  0.995,                0.82896,                0.75625,                0.82064,                 1.0808,               0.001634,               0.001634,               0.001634
                     12,                0.64435,                0.67906,                 1.0009,                0.97574,                0.94732,                  0.995,                0.80112,                0.74017,                0.74526,                 1.1381,              0.0016307,              0.0016307,              0.0016307
                     13,                0.62792,                0.68188,                0.98804,                0.99529,                0.99335,                  0.995,                0.81633,                0.73367,                0.60528,                 1.0803,              0.0016274,              0.0016274,              0.0016274
                     14,                0.62681,                0.64506,                0.98372,                0.99328,                0.98599,                  0.995,                0.79726,                0.70454,                0.61857,                  1.063,              0.0016241,              0.0016241,              0.0016241
                     15,                0.61915,                0.61847,                0.98966,                0.92004,                      1,                0.98546,                0.82815,                0.65297,                0.60432,                 1.0269,              0.0016208,              0.0016208,              0.0016208
                     16,                0.59715,                0.59392,                0.96986,                0.96992,                0.95871,                0.99194,                0.83366,                0.64081,                0.54384,                0.96082,              0.0016175,              0.0016175,              0.0016175
                     17,                0.58722,                0.57668,                0.96564,                0.98663,                      1,                  0.995,                0.88117,                0.56808,                0.49786,                0.92435,              0.0016142,              0.0016142,              0.0016142
                     18,                0.59229,                0.56408,                0.97433,                0.96263,                      1,                0.99361,                0.86385,                0.58481,                0.56237,                0.93668,              0.0016109,              0.0016109,              0.0016109
                     19,                0.62077,                0.57105,                0.98773,                0.98415,                      1,                  0.995,                0.85457,                0.61538,                 0.4722,                0.94678,              0.0016076,              0.0016076,              0.0016076
                     20,                0.59287,                0.55482,                0.96915,                0.98712,                      1,                  0.995,                0.86346,                0.62508,                 0.4251,                 0.9752,              0.0016043,              0.0016043,              0.0016043
                     21,                 0.5921,                0.55229,                0.97973,                0.99214,                      1,                  0.995,                0.86381,                0.59472,                 0.3919,                0.95842,               0.001601,               0.001601,               0.001601
                     22,                 0.6242,                0.55598,                0.99181,                0.99782,                0.99083,                  0.995,                0.84891,                 0.6314,                0.45942,                0.96791,              0.0015977,              0.0015977,              0.0015977
                     23,                0.59052,                0.53697,                0.97409,                0.96138,                0.97059,                0.98931,                0.87904,                0.59526,                0.45626,                0.97807,              0.0015944,              0.0015944,              0.0015944
                     24,                0.58141,                0.51705,                 0.9743,                0.99164,                0.98932,                  0.995,                0.87001,                0.57432,                0.41951,                0.93618,              0.0015911,              0.0015911,              0.0015911
                     25,                0.55771,                    0.5,                0.95707,                0.96644,                0.98028,                0.99361,                0.86346,                  0.597,                0.45352,                0.93859,              0.0015878,              0.0015878,              0.0015878
                     26,                0.56495,                0.49718,                0.96708,                0.99687,                0.95249,                0.99361,                0.85436,                0.61644,                 0.4401,                0.96737,              0.0015845,              0.0015845,              0.0015845
                     27,                0.60214,                0.49525,                0.97719,                0.99693,                0.99276,                  0.995,                0.85906,                0.61241,                 0.4452,                 0.9858,              0.0015812,              0.0015812,              0.0015812
                     28,                0.58651,                 0.5101,                0.98217,                0.99068,                      1,                  0.995,                0.87377,                0.56471,                0.37113,                0.92702,              0.0015779,              0.0015779,              0.0015779
                     29,                0.56628,                0.50932,                0.96559,                0.98488,                0.99828,                  0.995,                0.85076,                  0.585,                0.37682,                0.92994,              0.0015746,              0.0015746,              0.0015746
                     30,                0.59588,                0.50676,                0.98435,                0.99138,                0.97059,                0.99237,                0.86226,                0.58178,                0.40622,                0.95468,              0.0015713,              0.0015713,              0.0015713
                     31,                0.58445,                0.48893,                0.96365,                0.99477,                0.97059,                0.99361,                 0.8769,                0.55213,                 0.3755,                0.92046,               0.001568,               0.001568,               0.001568
                     32,                0.57098,                0.48854,                0.96825,                0.99471,                      1,                  0.995,                0.86982,                0.58304,                0.35418,                0.91896,              0.0015647,              0.0015647,              0.0015647
                     33,                0.54964,                0.46525,                 0.9554,                0.99247,                      1,                  0.995,                0.85779,                0.60686,                0.34934,                0.96747,              0.0015614,              0.0015614,              0.0015614
                     34,                0.56571,                 0.4659,                0.95447,                 0.9963,                      1,                  0.995,                0.83988,                0.64606,                 0.3677,                 1.0226,              0.0015581,              0.0015581,              0.0015581
                     35,                0.56749,                0.45585,                0.97349,                0.99277,                      1,                  0.995,                0.84814,                0.62574,                 0.4273,                  1.007,              0.0015548,              0.0015548,              0.0015548
                     36,                0.56721,                0.45631,                0.96502,                0.98603,                      1,                  0.995,                0.86461,                0.58535,                0.40769,                0.96626,              0.0015515,              0.0015515,              0.0015515
                     37,                0.56568,                0.45034,                0.97094,                0.99065,                0.99676,                  0.995,                0.87493,                0.57931,                0.41196,                0.91398,              0.0015482,              0.0015482,              0.0015482
                     38,                0.54256,                0.44866,                0.95118,                0.99121,                      1,                  0.995,                0.88029,                0.52754,                0.33122,                0.91221,              0.0015449,              0.0015449,              0.0015449
                     39,                0.53179,                0.42455,                0.94521,                0.99275,                      1,                  0.995,                0.86106,                 0.5891,                0.37128,                 0.9629,              0.0015416,              0.0015416,              0.0015416
                     40,                0.54476,                0.41941,                0.94841,                0.98797,                      1,                  0.995,                0.87716,                0.57527,                0.34213,                0.94718,              0.0015383,              0.0015383,              0.0015383
                     41,                0.53132,                0.42119,                0.93341,                0.99318,                      1,                  0.995,                0.87431,                0.54415,                0.33086,                0.91029,               0.001535,               0.001535,               0.001535
                     42,                0.53187,                0.41552,                0.93797,                0.98466,                0.99859,                  0.995,                0.83013,                0.62114,                0.35295,                0.97627,              0.0015317,              0.0015317,              0.0015317
                     43,                0.54997,                0.41153,                0.95521,                 0.9946,                      1,                  0.995,                0.84606,                 0.6324,                0.34136,                0.96684,              0.0015284,              0.0015284,              0.0015284
                     44,                0.55891,                 0.4312,                0.95762,                0.99245,                      1,                  0.995,                0.88221,                0.58897,                0.35133,                0.94439,              0.0015251,              0.0015251,              0.0015251
                     45,                0.55115,                0.42129,                0.95188,                0.98882,                 0.9991,                  0.995,                 0.8624,                0.53977,                0.32476,                0.92048,              0.0015218,              0.0015218,              0.0015218
                     46,                0.53129,                0.40276,                0.93542,                0.99425,                      1,                  0.995,                0.87596,                0.55647,                0.33331,                0.94582,              0.0015185,              0.0015185,              0.0015185
                     47,                0.53213,                0.42047,                0.94713,                0.98879,                      1,                  0.995,                0.86558,                 0.5137,                0.34223,                0.91949,              0.0015152,              0.0015152,              0.0015152
                     48,                0.51573,                0.39538,                0.94345,                0.98829,                0.99825,                  0.995,                0.88127,                0.55048,                0.31054,                0.91322,              0.0015119,              0.0015119,              0.0015119
                     49,                0.50531,                0.38189,                0.92872,                0.99298,                      1,                  0.995,                0.88521,                0.54089,                0.30702,                0.91935,              0.0015086,              0.0015086,              0.0015086
                     50,                0.51713,                0.40748,                0.94649,                0.99653,                      1,                  0.995,                0.87316,                 0.5719,                0.31907,                0.93513,              0.0015053,              0.0015053,              0.0015053
                     51,                0.51313,                0.38211,                0.93665,                0.99473,                      1,                  0.995,                0.88744,                0.56688,                0.30417,                0.94274,               0.001502,               0.001502,               0.001502
                     52,                0.51148,                0.39543,                 0.9498,                0.98821,                0.99741,                  0.995,                0.86584,                0.57906,                0.32463,                0.96854,              0.0014987,              0.0014987,              0.0014987
                     53,                0.50474,                0.37567,                0.93436,                0.99037,                0.99562,                  0.995,                0.86437,                0.53559,                0.29619,                0.91938,              0.0014954,              0.0014954,              0.0014954
                     54,                0.49782,                0.37454,                0.92175,                0.98773,                      1,                  0.995,                0.87608,                0.56942,                0.30275,                0.95999,              0.0014921,              0.0014921,              0.0014921
                     55,                0.50071,                0.36717,                0.92587,                0.99316,                      1,                  0.995,                0.88351,                0.53338,                0.28133,                0.92376,              0.0014888,              0.0014888,              0.0014888
                     56,                0.48435,                0.36687,                0.92846,                0.99036,                      1,                  0.995,                0.88509,                0.55608,                0.30629,                0.94818,              0.0014855,              0.0014855,              0.0014855
                     57,                0.49281,                0.38278,                0.93358,                0.99306,                      1,                  0.995,                0.85541,                0.58213,                0.30371,                0.94826,              0.0014822,              0.0014822,              0.0014822
                     58,                0.48387,                0.35665,                0.92416,                0.99148,                      1,                  0.995,                0.87948,                0.57509,                0.35046,                0.94673,              0.0014789,              0.0014789,              0.0014789
                     59,                0.51179,                0.39101,                0.94071,                0.99567,                      1,                  0.995,                 0.8612,                0.57226,                0.32589,                0.93813,              0.0014756,              0.0014756,              0.0014756
                     60,                0.48332,                0.36511,                0.93005,                0.98098,                      1,                  0.995,                0.86971,                  0.572,                0.31645,                0.95636,              0.0014723,              0.0014723,              0.0014723
                     61,                0.50111,                0.38141,                0.93317,                0.99848,                0.95883,                  0.995,                0.85081,                0.60814,                0.36153,                0.96193,               0.001469,               0.001469,               0.001469
                     62,                0.48723,                0.35897,                0.93007,                0.97829,                0.99904,                  0.995,                0.87763,                 0.5932,                0.33273,                0.95965,              0.0014657,              0.0014657,              0.0014657
                     63,                0.48817,                0.36613,                0.91642,                0.99091,                      1,                  0.995,                0.87305,                0.62825,                0.32309,                0.99451,              0.0014624,              0.0014624,              0.0014624
                     64,                0.49675,                0.36959,                0.94033,                0.97906,                      1,                  0.995,                0.85855,                 0.5989,                 0.3615,                0.96986,              0.0014591,              0.0014591,              0.0014591
                     65,                0.52165,                0.38482,                0.93391,                0.99579,                      1,                  0.995,                0.87489,                0.56031,                0.31532,                0.92616,              0.0014558,              0.0014558,              0.0014558
                     66,                0.49765,                0.36571,                0.93927,                0.99597,                      1,                  0.995,                0.86613,                0.57141,                0.33609,                0.93749,              0.0014525,              0.0014525,              0.0014525
